ImageId,Label
1,2
2,2
3,1
4,1
5,1
6,7
7,2
8,2
9,2
10,1
11,1
12,1
13,7
14,2
15,2
16,2
17,2
18,1
19,1
20,2
21,7
22,1
23,1
24,1
25,7
26,1
27,2
28,7
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,1
38,1
39,1
40,2
41,1
42,7
43,1
44,1
45,2
46,7
47,1
48,2
49,1
50,1
51,2
52,2
53,1
54,2
55,1
56,2
57,1
58,2
59,1
60,1
61,1
62,1
63,1
64,2
65,2
66,2
67,1
68,1
69,2
70,1
71,2
72,1
73,2
74,2
75,2
76,2
77,2
78,1
79,2
80,2
81,1
82,1
83,1
84,2
85,1
86,1
87,2
88,1
89,2
90,7
91,2
92,2
93,1
94,2
95,1
96,1
97,1
98,1
99,7
100,1
101,2
102,1
103,1
104,2
105,7
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,2
122,7
123,2
124,1
125,1
126,1
127,2
128,1
129,1
130,1
131,2
132,1
133,1
134,2
135,2
136,2
137,1
138,1
139,1
140,2
141,2
142,1
143,1
144,1
145,1
146,1
147,7
148,7
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,7
158,1
159,7
160,1
161,1
162,2
163,1
164,2
165,1
166,1
167,1
168,2
169,1
170,2
171,2
172,7
173,7
174,2
175,1
176,1
177,7
178,1
179,1
180,2
181,2
182,1
183,2
184,2
185,1
186,7
187,1
188,1
189,1
190,2
191,2
192,1
193,1
194,2
195,2
196,2
197,1
198,7
199,2
200,1
201,1
202,1
203,2
204,1
205,2
206,2
207,2
208,2
209,1
210,2
211,2
212,1
213,2
214,1
215,7
216,2
217,1
218,2
219,1
220,1
221,2
222,1
223,1
224,2
225,2
226,2
227,1
228,2
229,1
230,2
231,2
232,1
233,1
234,1
235,1
236,2
237,2
238,1
239,1
240,2
241,2
242,2
243,2
244,2
245,1
246,1
247,1
248,1
249,1
250,1
251,7
252,7
253,1
254,1
255,1
256,7
257,1
258,1
259,1
260,2
261,2
262,2
263,2
264,1
265,1
266,2
267,2
